iter	Passed	Remaining
0	22	89626
1	35	70392
2	46	62570
3	58	58081
4	68	54514
5	82	54684
6	94	53732
7	105	52780
8	117	52134
9	129	51559
10	141	51200
11	153	51117
12	161	49491
13	171	48743
14	180	47846
15	189	47292
16	200	46942
17	213	47187
18	224	47036
19	234	46726
20	244	46368
21	254	45953
22	264	45759
23	275	45662
24	286	45538
25	296	45258
26	307	45194
27	317	44990
28	328	44936
29	342	45385
30	355	45471
31	365	45353
32	376	45246
33	388	45284
34	399	45245
35	410	45164
36	419	44962
37	431	45029
38	443	45083
39	454	45035
40	465	44974
41	476	44937
42	487	44856
43	497	44721
44	508	44647
45	522	44923
46	533	44887
47	545	44897
48	557	44928
49	567	44857
50	578	44784
51	589	44754
52	599	44679
53	610	44575
