iter	Logloss
0	0.4967385256
1	0.4439894959
2	0.4242155244
3	0.4157872123
4	0.410236558
5	0.3996113641
6	0.3960761153
7	0.3959879217
8	0.3825401896
9	0.3803436324
10	0.3792527056
11	0.3768580295
12	0.3746568646
13	0.3723034132
14	0.3711852187
15	0.3692415935
16	0.3689204657
17	0.3686159421
18	0.3552444421
19	0.3529234469
20	0.3487281391
21	0.3435184449
22	0.3403878806
23	0.3397206899
24	0.3385344238
25	0.3348994772
26	0.3336236833
27	0.3313461245
28	0.3226064155
29	0.3209730582
30	0.3204519808
31	0.3150860303
32	0.314119124
33	0.3128285836
34	0.3124584274
35	0.3075803167
36	0.3021287479
37	0.3011449225
38	0.2994693849
39	0.2981176548
40	0.2939683398
41	0.293680944
42	0.2913884206
43	0.2908530686
44	0.2906246948
45	0.2886372807
46	0.2873573377
47	0.2866247146
48	0.2863079574
49	0.2818506959
50	0.2790330433
51	0.2784579718
52	0.2770474564
53	0.2767820701
54	0.2751709939
55	0.2748540054
56	0.2739626673
57	0.2729223216
58	0.272857136
59	0.2718469056
60	0.2716090608
61	0.2712652384
